item_id,transaction_id,product_id,quantity,unit_price,subtotal
1,1,43,4,553.59,2214.36
2,1,42,3,405.03,1215.09
3,1,50,1,234.46,234.46
4,1,31,2,756.97,1513.94
5,1,39,4,171.02,684.08
6,2,15,1,733.98,733.98
7,3,39,5,171.02,855.1
8,3,29,5,604.08,3020.4
9,3,32,4,898.66,3594.64
10,3,13,1,23.65,23.65
11,3,40,3,323.09,969.27
12,4,47,1,544.74,544.74
13,4,37,1,615.34,615.34
14,5,6,2,633.3,1266.6
15,5,22,5,69.0,345.0
16,5,21,1,970.77,970.77
17,5,27,4,276.5,1106.0
18,6,10,1,647.19,647.19
19,6,44,2,555.7,1111.4
20,6,29,4,604.08,2416.32
21,7,13,3,23.65,70.94999999999999
22,7,45,4,264.88,1059.52
23,7,28,1,443.75,443.75
24,7,5,5,330.86,1654.3000000000002
25,8,49,5,857.98,4289.9
26,9,9,2,811.54,1623.08
27,9,31,4,756.97,3027.88
28,10,7,2,48.86,97.72
29,11,31,5,756.97,3784.8500000000004
30,11,3,3,754.16,2262.48
31,11,24,2,915.8,1831.6
32,11,19,1,128.16,128.16
33,12,38,1,95.37,95.37
34,13,15,1,733.98,733.98
35,13,45,5,264.88,1324.4
36,13,11,3,51.63,154.89000000000001
37,13,40,2,323.09,646.18
38,14,49,1,857.98,857.98
39,14,1,3,608.99,1826.97
40,14,41,5,299.23,1496.15
41,14,39,3,171.02,513.0600000000001
42,14,29,5,604.08,3020.4
43,15,5,4,330.86,1323.44
44,15,36,3,663.94,1991.8200000000002
45,15,11,1,51.63,51.63
46,16,9,4,811.54,3246.16
47,16,12,2,776.83,1553.66
48,16,34,5,933.72,4668.6
49,17,12,5,776.83,3884.15
50,17,49,2,857.98,1715.96
51,17,46,3,889.39,2668.17
52,17,30,1,562.44,562.44
53,18,34,3,933.72,2801.16
54,18,13,1,23.65,23.65
55,19,11,3,51.63,154.89000000000001
56,19,47,1,544.74,544.74
57,19,8,3,909.42,2728.2599999999998
58,20,24,2,915.8,1831.6
59,20,37,4,615.34,2461.36
60,20,24,3,915.8,2747.3999999999996
61,21,32,1,898.66,898.66
62,22,42,4,405.03,1620.12
63,23,49,3,857.98,2573.94
64,23,43,2,553.59,1107.18
65,23,40,3,323.09,969.27
66,23,43,3,553.59,1660.77
67,23,4,5,886.75,4433.75
68,24,29,2,604.08,1208.16
69,24,15,5,733.98,3669.9
70,24,14,4,162.85,651.4
71,24,14,2,162.85,325.7
